month,number
Jan 16,584
Feb 16,239
Mar 16,"2,341"
Apr 16,580
May 16,517
Jun 16,"1,006"
Jul 16,419
Aug 16,293
Sep 16,"2,128"
Oct 16,394
Nov 16,605
Dec 16,"1,158"
Jan 17,"1,010"
Feb 17,483
Mar 17,"3,141"
Apr 17,668
May 17,926
Jun 17,"1,466"
Jul 17,860
Aug 17,476
Sep 17,"2,097"
Oct 17,672
Nov 17,834
Dec 17,964
Jan 18,635
Feb 18,355
Mar 18,"2,904"
Apr 18,929
May 18,"1,099"
Jun 18,"1,522"
Jul 18,880
Aug 18,659
Sep 18,"2,290"
Oct 18,"1,256"
Nov 18,"1,415"
Dec 18,"1,540"
Jan 19,"1,334"
Feb 19,731
Mar 19,"3,932"
Apr 19,"1,522"
May 19,"1,995"
Jun 19,"2,461"
Jul 19,"2,271"
Aug 19,"3,147"
Sep 19,"7,704"
Oct 19,"3,162"
Nov 19,"4,652"
Dec 19,"4,939"
Jan 20,"4,054"
Feb 20,"2,508"
Mar 20,"11,694"
Apr 20,"1,374"
May 20,"2,424"
Jun 20,"8,903"
Jul 20,"8,162"
Aug 20,"5,589"
Sep 20,"21,903"
Oct 20,"9,335"
Nov 20,"10,345"
Dec 20,"21,914"
