Quarter,Total  Devices,Rapid Devices,,,,,,,,,,,,,,,,,
2015Q1 ,2664 ,249 ,,,,,,,,,,,,,,,,,
2015Q2,2910 ,301 ,,,,,,,,,,,,,,,,,
2015Q3,3248 ,431 ,,,,,,,,,,,,,,,,,
2015Q4,3672 ,693 ,,,,,,,,,,,,,,,,,
2016Q1 ,3916 ,781 ,,,,,,,,,,,,,,,,,
2016Q2,4413 ,821 ,,,,,,,,,,,,,,,,,
2016Q3,4725 ,852 ,,,,,,,,,,,,,,,,,
2016Q4,5111 ,903 ,,,,,,,,,,,,,,,,,
2017Q1 ,5490 ,931 ,,,,,,,,,,,,,,,,,
2017Q2,5916 ,992 ,,,,,,,,,,,,,,,,,
2017Q3,6454 ,1088 ,,,,,,,,,,,,,,,,,
2017Q4,7211 ,1179 ,,,,,,,,,,,,,,,,,
2018Q1 ,7906 ,1421 ,,,,,,,,,,,,,,,,,
2018Q2,8567 ,1562 ,,,,,,,,,,,,,,,,,
2018Q3,9565 ,1690 ,,,,,,,,,,,,,,,,,
2018Q4,10309 ,1872 ,,,,,,,,,,,,,,,,,
2019Q1 ,11664 ,2029 ,,,,,,,,,,,,,,,,,
2019Q2,13646 ,2219 ,,,,,,,,,,,,,,,,,
2019Q3,15116 ,2495 ,,,,,,,,,,,,,,,,,
2019Q4,16505 ,2829 ,,,,,,,,,,,,,,,,,
2020Q1 ,17947 ,3107 ,,,,,,,,,,,,,,,,,
2020Q2,18265 ,3206 ,,,,,,,,,,,,,,,,,
2020Q3,19487 ,3530 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
