year,billion_mileage,,,,,,,,,,
1949,46.5,,,,,,,,,,
1950,53.1,,,,,,,,,,
1951,58.9,,,,,,,,,,
1952,60.8,,,,,,,,,,
1953,64.9,,,,,,,,,,
1954,69.7,,,,,,,,,,
1955,77.0,,,,,,,,,,
1956,80.8,,,,,,,,,,
1957,80.3,,,,,,,,,,
1958,93.0,,,,,,,,,,
1959,104.2,,,,,,,,,,
1960,112.3,,,,,,,,,,
1961,122.4,,,,,,,,,,
1962,128.3,,,,,,,,,,
1963,136.3,,,,,,,,,,
1964,152.3,,,,,,,,,,
1965,162.7,,,,,,,,,,
1966,172.9,,,,,,,,,,
1967,180.0,,,,,,,,,,
1968,187.7,,,,,,,,,,
1969,192.5,,,,,,,,,,
1970,200.5,,,,,,,,,,
1971,212.0,,,,,,,,,,
1972,222.5,,,,,,,,,,
1973,234.0,,,,,,,,,,
1974,229.7,,,,,,,,,,
1975,231.7,,,,,,,,,,
1976,243.5,,,,,,,,,,
1977,246.8,,,,,,,,,,
1978,256.5,,,,,,,,,,
1979,255.9,,,,,,,,,,
1980,271.9,,,,,,,,,,
1981,276.9,,,,,,,,,,
1982,284.5,,,,,,,,,,
1983,288.1,,,,,,,,,,
1984,303.1,,,,,,,,,,
1985,309.7,,,,,,,,,,
1986,325.3,,,,,,,,,,
1987,350.5,,,,,,,,,,
1988,375.7,,,,,,,,,,
1989,406.9,,,,,,,,,,
1990,410.8,,,,,,,,,,
1991,411.6,,,,,,,,,,
1992,412.1,,,,,,,,,,
1993,412.3,,,,,,,,,,
1994,421.5,,,,,,,,,,
1995,429.7,,,,,,,,,,
1996,441.1,,,,,,,,,,
1997,450.3,,,,,,,,,,
1998,458.5,,,,,,,,,,
1999,467.0,,,,,,,,,,
2000,466.2,,,,,,,,,,
2001,472.6,,,,,,,,,,
2002,483.7,,,,,,,,,,
2003,486.7,,,,,,,,,,
2004,493.9,,,,,,,,,,
2005,493.9,,,,,,,,,,
2006 ,501.1,,,,,,,,,,
2007,505.4,,,,,,,,,,
2008,500.6,,,,,,,,,,
2009,495.8,,,,,,,,,,
2010,492.1,,,,,,,,,,
2011,496.1,,,,,,,,,,
2012,497.3,,,,,,,,,,
2013,502.0,,,,,,,,,,
2014,518.5,,,,,,,,,,
2015,530.4,,,,,,,,,,
2016,544.3,,,,,,,,,,
2017,555.5,,,,,,,,,,
2018,562.5,,,,,,,,,,
2019,573.8,,,,,,,,,,
,,,,,,,,,,,
